,year,month,article,qid,monthly_pageviews
133,2024,1,Boulevard of Broken Dreams,Q1641812,6768.0
134,2024,1,Tim McGraw,Q2076570,6753.0
135,2024,1,Holiday,Q2089407,6681.0
136,2024,1,Voilà,Q105137334,6653.0
137,2024,1,Popular,Q118979027,6617.0
138,2024,1,Feliz Navidad,Q867806,6578.0
139,2024,1,Happy Together,Q2733482,6515.0
140,2024,1,Tom Sawyer,Q2630950,6490.0
141,2024,1,Famous,Q23647071,6428.0
142,2024,1,Stick Season,Q123418409,6411.0
143,2024,1,Kill Bill,Q115706733,6410.0
144,2024,1,Get Lucky,Q11510350,6405.0
145,2024,1,Clint Eastwood,Q770786,6391.0
146,2024,1,Roxanne,Q1631268,6340.0
147,2024,1,The Sign,Q638334,6336.0
148,2024,1,Piano Man,Q1813850,6296.0
149,2024,1,Down Under,Q1253170,6288.0
150,2024,1,Thank You,Q1635376,6271.0
151,2024,1,Starships,Q903409,6265.0
152,2024,1,"Thank U, Next",Q59297929,6262.0
153,2024,1,September,Q3075151,6253.0
154,2024,1,Summertime,Q844046,6247.0
155,2024,1,Ruby Tuesday,Q1953769,6247.0
156,2024,1,Calm Down,Q113669344,6211.0
157,2024,1,Tusk,Q3420453,6199.0
158,2024,1,Mickey,Q257424,6195.0
159,2024,1,The Way,Q683320,6163.0
160,2024,1,Levitating,Q90599924,6133.0
161,2024,1,Mr. Bojangles,Q841967,6131.0
162,2024,1,One,Q938656,6110.0
163,2024,1,Yellow,Q529026,6098.0
164,2024,1,1-800-273-8255,Q30606332,6095.0
165,2024,1,The Rose,Q1808804,6095.0
166,2024,1,Sukiyaki,Q1770488,6092.0
167,2024,1,No Time to Die,Q84761142,6066.0
168,2024,1,Just the Two of Us,Q634821,6049.0
169,2024,1,Forever Young,Q1437266,6038.0
170,2024,1,Witch Doctor,Q8027833,6020.0
171,2024,1,Friday,Q1770461,5983.0
172,2024,1,Our Song,Q2262482,5960.0
173,2024,1,White Christmas,Q1131761,5945.0
174,2024,1,Rocket Man,Q56070897,5937.0
175,2024,1,Desperado,Q4037259,5910.0
176,2024,1,Oops!... I Did It Again,Q733931,5907.0
177,2024,1,My Girl,Q1541182,5890.0
178,2024,1,Venus,Q749752,5883.0
179,2024,1,The Prayer,Q1450954,5872.0
180,2024,1,Diamonds,Q74038,5838.0
181,2024,1,Five Nights at Freddy's,Q123479284,5830.0
182,2024,1,Smooth,Q1036227,5828.0
183,2024,1,Wake Me Up,Q13557314,5814.0
184,2024,1,3,Q229553,5809.0
185,2024,1,Mia Khalifa,Q74208810,5809.0
186,2024,1,Basket Case,Q1750952,5792.0
187,2024,1,Once in a Lifetime,Q661493,5727.0
188,2024,1,The Gambler,Q5559091,5724.0
189,2024,1,A Thousand Years,Q82123,5715.0
190,2024,1,Bad,Q275422,5705.0
191,2024,1,Simple Man,Q1772880,5624.0
192,2024,1,Save Me,Q120024185,5621.0
193,2024,1,One Last Time,Q18786661,5606.0
194,2024,1,Bad Day,Q2081392,5593.0
195,2024,1,Chandelier,Q16028874,5585.0
196,2024,1,Dance with the Devil,Q5215345,5557.0
197,2024,1,Ben,Q49522,5557.0
198,2024,1,Peaches,Q117480544,5552.0
199,2024,1,Dancing in the Dark,Q1159364,5548.0
200,2024,1,Good Times,Q1011938,5519.0
201,2024,1,Perfect,Q29051557,5518.0
202,2024,1,Whistle,Q1781150,5517.0
203,2024,1,Those Were the Days,Q88222469,5510.0
204,2024,1,7,Q4643816,5502.0
205,2024,1,Stay,Q107439752,5470.0
206,2024,1,Yellow Submarine,Q832799,5445.0
207,2024,1,Take Me Home Tonight,Q1324983,5440.0
208,2024,1,Idol,Q117462019,5433.0
209,2024,1,Rosanna,Q525539,5431.0
210,2024,1,Shout,Q3959743,5415.0
211,2024,1,Crazy,Q2083222,5394.0
212,2024,1,What's Love Got to Do with It,Q2300404,5385.0
213,2024,1,Wrecking Ball,Q14661781,5381.0
214,2024,1,Never Forget You,Q261315,5324.0
215,2024,1,"""Heroes""",Q701655,5311.0
216,2024,1,What's Going On,Q2517476,5311.0
217,2024,1,Your Love,Q5853236,5292.0
218,2024,1,How Deep Is Your Love,Q1573223,5292.0
219,2024,1,Umbrella,Q155447,5291.0
220,2024,1,Misty,Q1939352,5289.0
221,2024,1,Forever Young,Q1437264,5288.0
222,2024,1,Lean on Me,Q1423445,5275.0
223,2024,1,Thunderstruck,Q2430003,5271.0
224,2024,1,Highwayman,Q16843253,5266.0
225,2024,1,Valerie,Q2634654,5258.0
226,2024,1,Fantasy,Q996033,5252.0
227,2024,1,Walk on the Wild Side,Q2454080,5228.0
228,2024,1,Wild Thing,Q225027,5215.0
229,2024,1,Take the Long Way Home,Q7677934,5215.0
230,2024,1,Joy to the World,Q6297345,5210.0
231,2024,1,Earth,Q63245158,5207.0
232,2024,1,Relax,Q104175596,5171.0
233,2024,1,Feather,Q123312089,5166.0
234,2024,1,The Wayfaring Stranger,Q3989961,5159.0
235,2024,1,Cobra,Q123412052,5153.0
236,2024,1,Rhiannon,Q959036,5137.0
237,2024,1,Wiseman,Q123162867,5135.0
238,2024,1,Fireflies,Q1165917,5131.0
239,2024,1,Unholy,Q113876065,5131.0
240,2024,1,My House,Q123614606,5105.0
241,2024,1,Torn,Q1193181,5069.0
242,2024,1,Hold On,Q2069502,5059.0
243,2024,1,You Get What You Give,Q1408207,5058.0
244,2024,1,Hurricane,Q1419882,5058.0
245,2024,1,Gold Digger,Q2628090,5039.0
246,2024,1,Live and Let Die,Q568484,5010.0
247,2024,1,The U.S. Air Force,Q7771013,4995.0
248,2024,1,Nonsense,Q116453699,4985.0
249,2024,1,Waterloo,Q32503,4955.0
250,2024,1,Eastside,Q57897076,4954.0
251,2024,1,Linger,Q2734705,4946.0
252,2024,1,Maneater,Q1143166,4936.0
253,2024,1,Southern Cross,Q7569812,4929.0
254,2024,1,Without Me,Q1479183,4925.0
255,2024,1,Poison,Q7208434,4917.0
256,2024,1,Father and Son,Q1398035,4916.0
257,2024,1,Wildest Dreams,Q20882673,4879.0
258,2024,1,Skyfall,Q326790,4876.0
259,2024,1,Milkshake,Q1761593,4872.0
260,2024,1,Take Me Out,Q941387,4848.0
261,2024,1,Cupid,Q117305738,4842.0
262,2024,1,The Power of Love,Q1852653,4834.0
263,2024,1,Iron Man,Q910905,4822.0
264,2024,1,Yesterday,Q202698,4820.0
265,2024,1,When a Man Loves a Woman,Q2456757,4818.0
266,2024,1,Call Me,Q857507,4810.0
267,2024,1,Godzilla,Q83050393,4809.0
268,2024,1,Everytime We Touch,Q993833,4809.0
269,2024,1,Sundown,Q7639816,4750.0
270,2024,1,Sunflower,Q57939337,4747.0
271,2024,1,Loser,Q2363966,4738.0
272,2024,1,Cult of Personality,Q2756130,4737.0
273,2024,1,2024,Q124040144,4732.0
274,2024,1,Michelle,Q1353749,4731.0
275,2024,1,Wild Horses,Q240211,4727.0
276,2024,1,Take It to the Limit,Q3980281,4722.0
277,2024,1,We Didn't Start the Fire,Q120441376,4700.0
278,2024,1,Bad Guy,Q62618893,4698.0
279,2024,1,Daylight,Q118316199,4694.0
280,2024,1,Human Nature,Q732826,4663.0
281,2024,1,Heart of Glass,Q635756,4661.0
282,2024,1,Revolution,Q2619535,4655.0
283,2024,1,Style,Q18786715,4652.0
284,2024,1,Cry Me a River,Q572144,4643.0
285,2024,1,Jailhouse Rock,Q1353423,4613.0
286,2024,1,Closing Time,Q5135443,4613.0
287,2024,1,Die for You,Q30597941,4606.0
288,2024,1,My Own Worst Enemy,Q6946243,4602.0
289,2024,1,Eternal Flame,Q1371048,4599.0
290,2024,1,Eyes Without a Face,Q1126532,4591.0
291,2024,1,Ocean Eyes,Q30603613,4580.0
292,2024,1,Fire and Rain,Q5451533,4559.0
293,2024,1,Good Vibrations,Q11101138,4553.0
294,2024,1,Changes,Q2086380,4544.0
295,2024,1,Ironic,Q2287863,4536.0
296,2024,1,I Miss You,Q2739062,4524.0
297,2024,1,Man on the Moon,Q1888554,4517.0
298,2024,1,Radioactive,Q7281218,4514.0
299,2024,1,Rapture,Q1714785,4476.0
300,2024,1,Say Something,Q15144830,4466.0
301,2024,1,Come as You Are,Q910487,4461.0
302,2024,1,Kashmir,Q978391,4457.0
303,2024,1,Just Dance,Q189007,4430.0
304,2024,1,Forever,Q2553206,4398.0
305,2024,1,Happy Birthday,Q2342851,4395.0
306,2024,1,Night Moves,Q7033371,4393.0
307,2024,1,Redbone,Q28452669,4392.0
308,2024,1,The Reason,Q1025631,4389.0
309,2024,1,Blue Moon,Q804574,4371.0
310,2024,1,S&M,Q830734,4335.0
311,2024,1,The Message,Q1814594,4333.0
312,2024,1,Royals,Q14370331,4321.0
313,2024,1,Summer Breeze,Q7637277,4321.0
314,2024,1,Girlfriend,Q738474,4314.0
315,2024,1,1979,Q2733678,4312.0
316,2024,1,Solsbury Hill,Q1808658,4310.0
317,2024,1,Brutal,Q107123213,4310.0
318,2024,1,Get Low,Q2282976,4307.0
319,2024,1,Complicated,Q543362,4304.0
320,2024,1,Dragula,Q734624,4302.0
321,2024,1,Believer,Q28737603,4289.0
322,2024,1,9 to 5,Q4646459,4281.0
323,2024,1,Turn the Page,Q2717247,4277.0
324,2024,1,Mean,Q2303661,4269.0
325,2024,1,City of New Orleans,Q21643112,4260.0
326,2024,1,Exile,Q97664817,4257.0
327,2024,1,Dirty Laundry,Q1228231,4243.0
328,2024,1,Cups,Q14915219,4240.0
329,2024,1,Rooster,Q2554050,4224.0
330,2024,1,Born in the U.S.A.,Q522215,4213.0
331,2024,1,Addicted to Love,Q352920,4206.0
332,2024,1,Danger Zone,Q5216027,4197.0
333,2024,1,Traitor,Q107525406,4196.0
334,2024,1,Wish You Were Here,Q1130223,4189.0
335,2024,1,Cherry Bomb,Q5092300,4189.0
336,2024,1,Atlantic City,Q3445324,4187.0
337,2024,1,Do It Again,Q5286056,4155.0
338,2024,1,The End of the World,Q3366912,4152.0
339,2024,1,Drive,Q169987,4144.0
340,2024,1,Marjorie,Q104184919,4143.0
341,2024,1,Closer,Q239076,4142.0
342,2024,1,True Colors,Q964588,4140.0
343,2024,1,Surround Sound,Q110732545,4138.0
344,2024,1,Fame,Q288281,4138.0
345,2024,1,Convoy,Q3689909,4131.0
346,2024,1,The Lady in Red,Q2191286,4125.0
347,2024,1,Seven,Q120682483,4113.0
348,2024,1,Makeba,Q22056760,4108.0
349,2024,1,The Man,Q66314458,4097.0
350,2024,1,Don't Give Up,Q2629301,4093.0
351,2024,1,Sorry,Q21198638,4089.0
352,2024,1,Fuck You,Q57898891,4071.0
353,2024,1,Brown Sugar,Q991121,4061.0
354,2024,1,The Promise,Q7758542,4048.0
355,2024,1,Everywhere,Q5418171,4031.0
356,2024,1,Wuthering Heights,Q55777670,4023.0
357,2024,1,Whip It,Q7993694,4016.0
358,2024,1,Shout,Q950244,4011.0
359,2024,1,21 Guns,Q1648703,3995.0
360,2024,1,Ronan,Q2758707,3971.0
361,2024,1,Exes,Q123472066,3968.0
362,2024,1,Teardrop,Q1027829,3968.0
363,2024,1,Midnight Special,Q4044259,3943.0
364,2024,1,Mr. Jones,Q1995488,3941.0
365,2024,1,Cruel Summer,Q1141939,3929.0
366,2024,1,Mockingbird,Q2164631,3928.0
367,2024,1,Hypnotize,Q1629508,3927.0
368,2024,1,Fernando,Q27623,3927.0
369,2024,1,Firework,Q163412,3899.0
370,2024,1,Ohio,Q2137506,3890.0
371,2024,1,Don't Let Me Down,Q2078599,3877.0
372,2024,1,Like a Virgin,Q542497,3866.0
373,2024,1,The Boy Is Mine,Q1088774,3808.0
374,2024,1,Flashing Lights,Q2915228,3803.0
375,2024,1,Kyrie,Q1748161,3802.0
376,2024,1,El Paso,Q5351760,3755.0
377,2024,1,Roundabout,Q1078140,3755.0
378,2024,1,Dilemma,Q2015357,3745.0
379,2024,1,Promiscuous,Q943285,3744.0
380,2024,1,Good Good,Q122723339,3736.0
381,2024,1,Killshot,Q56635098,3733.0
382,2024,1,Bad Boys,Q2629093,3709.0
383,2024,1,Fever,Q919452,3708.0
384,2024,1,Dilemma,Q123944694,3706.0
385,2024,1,Kids,Q2327088,3705.0
386,2024,1,Ella Baila Sola,Q117706785,3705.0
387,2024,1,Ghostbusters,Q1392942,3692.0
388,2024,1,The Power of Love,Q1857814,3686.0
389,2024,1,Somewhere Out There,Q3964614,3673.0
390,2024,1,All My Life,Q4729118,3655.0
391,2024,1,Rico Suave,Q7332282,3647.0
392,2024,1,Vultures,Q123513169,3620.0
393,2024,1,White Horse,Q122143634,3620.0
394,2024,1,Hook,Q17010773,3610.0
395,2024,1,Runaway Train,Q2574626,3592.0
396,2024,1,I'll Be There,Q1073719,3584.0
397,2024,1,These Days,Q7783367,3578.0
398,2024,1,Dreams,Q98910463,3577.0
399,2024,1,The Joker,Q1498615,3576.0
400,2024,1,Ooh La La,Q7095288,3570.0
401,2024,1,Polly,Q1575153,3566.0
402,2024,1,Call on Me,Q2227079,3562.0
403,2024,1,Angel,Q13581351,3557.0
404,2024,1,Rockstar,Q2315723,3557.0
405,2024,1,Alejandro,Q153044,3547.0
406,2024,1,Regulate,Q7309633,3542.0
407,2024,1,Candy,Q5032057,3540.0
408,2024,1,Sara,Q7421538,3536.0
409,2024,1,Beyond the Sea,Q2551568,3534.0
410,2024,1,Lucid Dreams,Q54869141,3526.0
411,2024,1,War,Q2548927,3525.0
412,2024,1,Vienna,Q2523320,3522.0
413,2024,1,My Favorite Things,Q546331,3515.0
414,2024,1,Lithium,Q1130059,3503.0
415,2024,1,Memory,Q1920130,3500.0
416,2024,1,Valerie,Q3553704,3490.0
417,2024,1,Unstoppable,Q22666616,3482.0
418,2024,1,We Are Family,Q4018646,3473.0
419,2024,1,Rehab,Q257517,3464.0
420,2024,1,Boombastic,Q3642293,3458.0
421,2024,1,Rollin',Q2262044,3457.0
422,2024,1,Faded,Q22041338,3455.0
423,2024,1,Stronger,Q2018005,3453.0
424,2024,1,Rock the Boat,Q899169,3446.0
425,2024,1,The End,Q154187,3445.0
426,2024,1,Vincent,Q920366,3438.0
427,2024,1,The Way We Were,Q126149,3419.0
428,2024,1,As Time Goes By,Q719975,3415.0
429,2024,1,Sledgehammer,Q593978,3408.0
430,2024,1,Home,Q16844324,3398.0
431,2024,1,Bang Bang,Q17468562,3394.0
432,2024,1,Autumn Leaves,Q79330104,3388.0
433,2024,1,Enchanted,Q96377272,3385.0
434,2024,1,Lover,Q66382926,3382.0
435,2024,1,My Immortal,Q1981958,3382.0
436,2024,1,True,Q1605038,3381.0
437,2024,1,1999,Q208837,3379.0
438,2024,1,Endless Love,Q989611,3368.0
439,2024,1,Teenage Dream,Q835192,3360.0
440,2024,1,Tequila,Q2892667,3352.0
441,2024,1,Angel,Q1172469,3351.0
442,2024,1,Downtown,Q2020828,3347.0
443,2024,1,The Times They Are a-Changin',Q2006225,3345.0
444,2024,1,Pompeii,Q7227455,3340.0
445,2024,1,Mirrors,Q5514667,3339.0
446,2024,1,Apologize,Q7468830,3313.0
447,2024,1,All of Me,Q15427702,3312.0
448,2024,1,I Love It,Q3273659,3302.0
449,2024,1,Memories,Q68015646,3289.0
450,2024,1,Sabotage,Q2040607,3284.0
451,2024,1,We're Not Gonna Take It,Q3751821,3282.0
452,2024,1,Halo,Q147734,3282.0
453,2024,1,Der Kommissar,Q1194892,3278.0
454,2024,1,God's Plan,Q47915404,3272.0
455,2024,1,Love Is a Long Road,Q116730199,3272.0
456,2024,1,Nightshift,Q1387798,3267.0
457,2024,1,Baby Come Back,Q4838245,3252.0
458,2024,1,Year of the Cat,Q8050903,3249.0
459,2024,1,Padam Padam,Q118534203,3246.0
460,2024,1,Toy Soldiers,Q2446997,3245.0
461,2024,1,Savage,Q89019004,3240.0
462,2024,1,Jump,Q15635928,3235.0
463,2024,1,The Yellow Rose of Texas,Q1934656,3234.0
464,2024,1,Rudolph the Red-Nosed Reindeer,Q6505842,3228.0
465,2024,1,XO,Q15375386,3224.0
466,2024,1,Coconut,Q5139820,3223.0
467,2024,1,Someone like You,Q166904,3217.0
468,2024,1,Streets of Laredo,Q2355373,3211.0
469,2024,1,The Power,Q2037068,3208.0
470,2024,1,Smile,Q1152776,3205.0
471,2024,1,Let's Dance,Q1821319,3199.0
472,2024,1,One More Time,Q2617236,3197.0
473,2024,1,Havana,Q35282195,3190.0
474,2024,1,Missing You,Q866186,3167.0
475,2024,1,Good Grief,Q25219012,3166.0
476,2024,1,Cardigan,Q97631372,3158.0
477,2024,1,Because of You,Q868569,3151.0
478,2024,1,Tea for Two,Q1725760,3131.0
479,2024,1,To Love Somebody,Q2322142,3125.0
480,2024,1,Good Feeling,Q701966,3123.0
481,2024,1,Help!,Q839842,3122.0
482,2024,1,Just the Way You Are,Q170183,3115.0
483,2024,1,Born This Way,Q189002,3114.0
484,2024,1,Sailing,Q1172628,3105.0
485,2024,1,Shut Up and Dance,Q18786700,3099.0
486,2024,1,Only You,Q2436301,3072.0
487,2024,1,All Summer Long,Q1440116,3065.0
488,2024,1,Willow,Q104092599,3063.0
489,2024,1,Ghost,Q108597902,3058.0
490,2024,1,Dark Horse,Q14927695,3058.0
491,2024,1,Santeria,Q3472816,3052.0
492,2024,1,Centerfold,Q1995973,3050.0
493,2024,1,Susie Q,Q2281058,3038.0
494,2024,1,Beth,Q831102,3032.0
495,2024,1,Bust a Move,Q4206949,3028.0
496,2024,1,How Bizarre,Q10298652,3017.0
497,2024,1,The Letter,Q2095265,3003.0
498,2024,1,Butterfly,Q582848,2996.0
499,2024,1,One of Us,Q2469978,2991.0
500,2024,1,Lollipop,Q2474196,2986.0
501,2024,1,Numb,Q19973,2986.0
502,2024,1,The Warning,Q7773573,2980.0
503,2024,1,Starman,Q2455256,2978.0
504,2024,1,Peaches,Q17063439,2972.0
505,2024,1,Congratulations,Q28229308,2964.0
506,2024,1,Obsessed,Q1089544,2957.0
507,2024,1,7 Years,Q21504121,2952.0
508,2024,1,Easy,Q5331081,2951.0
509,2024,1,Maps,Q607626,2946.0
510,2024,1,Closer,Q26257738,2945.0
511,2024,1,Big Girls Don't Cry,Q623470,2937.0
512,2024,1,Eve of Destruction,Q1381626,2936.0
513,2024,1,Celebration,Q859298,2935.0
514,2024,1,Wonderful World,Q677927,2928.0
515,2024,1,King of the Road,Q579766,2927.0
516,2024,1,Grease,Q728791,2925.0
517,2024,1,End of the Road,Q4038061,2919.0
518,2024,1,Dizzy,Q5285108,2913.0
519,2024,1,Just the Way You Are,Q1714123,2908.0
520,2024,1,La Grange,Q1166204,2907.0
521,2024,1,Anaconda,Q17485058,2897.0
522,2024,1,Tell It to My Heart,Q1586664,2892.0
523,2024,1,Little Girls,Q65083434,2889.0
524,2024,1,All My Love,Q2567874,2885.0
525,2024,1,Diana,Q1208770,2868.0
526,2024,1,Long Live,Q10319654,2858.0
527,2024,1,Golden Hour,Q117811287,2845.0
528,2024,1,Bongos,Q122330876,2815.0
529,2024,1,Let Me Love You,Q19875767,2801.0
530,2024,1,The Night We Met,Q54869031,2799.0
531,2024,1,The Power of Love,Q2093786,2799.0
532,2024,1,Crazy for You,Q1139281,2794.0
533,2024,1,You Belong to Me,Q3437349,2793.0
534,2024,1,The Monster,Q15114662,2787.0
535,2024,1,Rhythm of the Night,Q1406189,2776.0
536,2024,1,Echoes,Q507727,2775.0
537,2024,1,Superstition,Q727067,2772.0
538,2024,1,About a Girl,Q642170,2769.0
539,2024,1,Kryptonite,Q4980576,2761.0
540,2024,1,Creepin',Q115669312,2760.0
541,2024,1,Rock and Roll,Q3503883,2754.0
542,2024,1,The Way It Is,Q2415121,2747.0
543,2024,1,Our House,Q7110676,2742.0
544,2024,1,One,Q7092414,2737.0
545,2024,1,Time,Q641913,2736.0
546,2024,1,Superstar,Q6122411,2735.0
547,2024,1,The Middle,Q2616520,2727.0
548,2024,1,Monaco,Q123120277,2699.0
549,2024,1,Last Resort,Q600476,2699.0
550,2024,1,A&W,Q116786471,2697.0
551,2024,1,My Hero,Q3041685,2695.0
552,2024,1,Hide and Seek,Q603753,2690.0
553,2024,1,Open Arms,Q834969,2685.0
554,2024,1,Hunger Strike,Q3143326,2685.0
555,2024,1,Scream,Q107654239,2684.0
556,2024,1,Get It On,Q5553947,2683.0
557,2024,1,Best of My Love,Q4896966,2682.0
558,2024,1,Alive,Q1461284,2681.0
559,2024,1,Steppin' Out,Q7611095,2677.0
560,2024,1,Listen to Your Heart,Q1946997,2666.0
561,2024,1,Mustang Sally,Q4993306,2666.0
562,2024,1,Girl on Fire,Q376611,2650.0
563,2024,1,Footloose,Q653189,2632.0
564,2024,1,Breakfast at Tiffany's,Q4179376,2631.0
565,2024,1,Whipping Post,Q7993733,2631.0
566,2024,1,Judas,Q188766,2629.0
567,2024,1,Southern Man,Q2904707,2617.0
568,2024,1,Higher,Q9292174,2612.0
569,2024,1,Titanium,Q535566,2609.0
570,2024,1,Hard to Handle,Q16841151,2606.0
571,2024,1,Telephone,Q188770,2602.0
572,2024,1,Glycerine,Q2887099,2597.0
573,2024,1,Oh Yeah,Q3752329,2589.0
574,2024,1,Katyusha,Q18288,2582.0
575,2024,1,Fancy,Q5433668,2559.0
576,2024,1,Monsters,Q85786155,2549.0
577,2024,1,Beautiful,Q813449,2546.0
578,2024,1,Sober,Q527131,2538.0
579,2024,1,Follow Me,Q5464703,2533.0
580,2024,1,It's My Life,Q686517,2532.0
581,2024,1,Better Man,Q27677387,2530.0
