,year,month,article,qid,monthly_pageviews,genre,artist
88,2024,1,Something,Q210485,8392.0,soft rock,The Beatles
89,2024,1,Islands in the Stream,Q1163515,8387.0,country music,Kenny Rogers
90,2024,1,Shallow,Q56770393,8357.0,country music,Bradley Cooper
91,2024,1,Time After Time,Q1808348,8288.0,pop music,Cyndi Lauper
92,2024,1,Lola,Q2706015,8281.0,pop rock,The Kinks
93,2024,1,The Hanging Tree,Q18601898,8207.0,indie folk,James Newton Howard
94,2024,1,The Boys of Summer,Q964737,8115.0,rock music,Don Henley
95,2024,1,Blue Monday,Q885777,8010.0,synth-pop,New Order
96,2024,1,Purple Rain,Q2000445,8001.0,sentimental ballad,Prince and the Revolution
97,2024,1,Vogue,Q1128775,7982.0,house music,Madonna
98,2024,1,Blackbird,Q880719,7980.0,folk music,The Beatles
99,2024,1,Jump,Q720547,7940.0,synth-pop,Van Halen
100,2024,1,Too Close,Q3993337,7917.0,contemporary R&B,Next
101,2024,1,Kiss Me,Q2291989,7766.0,pop rock,Sixpence None the Richer
102,2024,1,Never Enough,Q106899363,7733.0,pop music,Loren Allred
103,2024,1,Push,Q2889279,7691.0,post-grunge,Matchbox Twenty
104,2024,1,Informer,Q3798619,7608.0,rapping,Snow
105,2024,1,Hound Dog,Q865095,7532.0,rock and roll,Big Mama Thornton
106,2024,1,Wind of Change,Q157355,7510.0,rock music,Scorpions
107,2024,1,Without You,Q698481,7501.0,popular music,Badfinger
108,2024,1,Better Place,Q122890867,7372.0,pop music,NSYNC
109,2024,1,Dream On,Q686850,7357.0,rock music,Aerosmith
110,2024,1,Happy,Q15275920,7352.0,soul,Pharrell Williams
111,2024,1,This Is America,Q52808665,7337.0,Afrobeat,Donald Glover
112,2024,1,I Remember Everything,Q121972390,7304.0,country music,Zach Bryan
113,2024,1,Baker Street,Q804380,7287.0,rock music,Gerry Rafferty
114,2024,1,1985,Q4391031,7276.0,pop-punk,Bowling for Soup
115,2024,1,Alfie,Q1895177,7273.0,,Cilla Black
116,2024,1,Betty,Q97929991,7257.0,country music,Taylor Swift
117,2024,1,The Final Countdown,Q1165771,7254.0,hard rock,Europe
118,2024,1,I'll Be There for You,Q2006198,7217.0,power pop,The Rembrandts
119,2024,1,Snooze,Q117842122,7098.0,contemporary R&B,SZA
120,2024,1,Waterfalls,Q1121052,7067.0,contemporary R&B,TLC
121,2024,1,O.P.P.,Q7072070,6977.0,hip-hop,Naughty by Nature
122,2024,1,Electric Avenue,Q2688110,6966.0,,Eddy Grant
123,2024,1,It's My Life,Q1675420,6951.0,synth-pop,Talk Talk
124,2024,1,There She Goes,Q2736391,6949.0,alternative rock,The La's
125,2024,1,Karma,Q114805013,6897.0,disco,Taylor Swift
126,2024,1,Can't Get Enough,Q124289776,6877.0,,
127,2024,1,Black Velvet,Q880611,6840.0,blues rock,Alannah Myles
128,2024,1,Ring of Fire,Q1473718,6818.0,country music,Johnny Cash
129,2024,1,Last Night,Q116824945,6801.0,country pop,Morgan Wallen
130,2024,1,Deja Vu,Q106291700,6799.0,psychedelic pop,Olivia Rodrigo
131,2024,1,Bridge over Troubled Water,Q913700,6782.0,popular music,Simon & Garfunkel
132,2024,1,22,Q720620,6773.0,country music,Taylor Swift
133,2024,1,Boulevard of Broken Dreams,Q1641812,6768.0,alternative rock,Green Day
134,2024,1,Tim McGraw,Q2076570,6753.0,country music,Taylor Swift
135,2024,1,Holiday,Q2089407,6681.0,punk rock,Green Day
136,2024,1,Voilà,Q105137334,6653.0,chanson,Barbara Pravi
137,2024,1,Popular,Q118979027,6617.0,contemporary R&B,The Weeknd
138,2024,1,Feliz Navidad,Q867806,6578.0,Christmas music,José Feliciano
139,2024,1,Happy Together,Q2733482,6515.0,pop music,The Turtles
140,2024,1,Tom Sawyer,Q2630950,6490.0,progressive rock,Rush
141,2024,1,Famous,Q23647071,6428.0,hip-hop,Kanye West
142,2024,1,Stick Season,Q123418409,6411.0,folk music,Noah Kahan
143,2024,1,Kill Bill,Q115706733,6410.0,contemporary R&B,SZA
144,2024,1,Get Lucky,Q11510350,6405.0,disco,Daft Punk
145,2024,1,Clint Eastwood,Q770786,6391.0,alternative hip-hop,Gorillaz
146,2024,1,Roxanne,Q1631268,6340.0,popular music,The Police
147,2024,1,The Sign,Q638334,6336.0,pop music,Ace of Base
148,2024,1,Piano Man,Q1813850,6296.0,soft rock,Billy Joel
149,2024,1,Down Under,Q1253170,6288.0,new wave,Men at Work
150,2024,1,Thank You,Q1635376,6271.0,pop music,Dido
151,2024,1,Starships,Q903409,6265.0,dance-pop,Nicki Minaj
152,2024,1,"Thank U, Next",Q59297929,6262.0,,Ariana Grande
153,2024,1,September,Q3075151,6253.0,disco,"Earth, Wind & Fire"
154,2024,1,Summertime,Q844046,6247.0,jazz,Abbie Mitchell
155,2024,1,Ruby Tuesday,Q1953769,6247.0,,The Rolling Stones
156,2024,1,Calm Down,Q113669344,6211.0,Afrobeats,Rema
157,2024,1,Tusk,Q3420453,6199.0,rock music,Fleetwood Mac
158,2024,1,Mickey,Q257424,6195.0,glam rock,Racey
159,2024,1,The Way,Q683320,6163.0,alternative rock,Fastball
160,2024,1,Levitating,Q90599924,6133.0,electro-disco,Dua Lipa
161,2024,1,Mr. Bojangles,Q841967,6131.0,popular music,Jerry Jeff Walker
162,2024,1,One,Q938656,6110.0,thrash metal,Metallica
163,2024,1,Yellow,Q529026,6098.0,alternative rock,Coldplay
164,2024,1,1-800-273-8255,Q30606332,6095.0,contemporary R&B,Logic
165,2024,1,The Rose,Q1808804,6095.0,pop music,Bette Midler
166,2024,1,Sukiyaki,Q1770488,6092.0,pop music,Kyū Sakamoto
167,2024,1,No Time to Die,Q84761142,6066.0,film score,Billie Eilish
168,2024,1,Just the Two of Us,Q634821,6049.0,rhythm and blues,"Grover Washington, Jr."
169,2024,1,Forever Young,Q1437266,6038.0,rock music,Bob Dylan
170,2024,1,Witch Doctor,Q8027833,6020.0,comedy music,Ross Bagdasarian Sr.
171,2024,1,Friday,Q1770461,5983.0,electropop,Rebecca Black
172,2024,1,Our Song,Q2262482,5960.0,rock music,Taylor Swift
173,2024,1,White Christmas,Q1131761,5945.0,Christmas music,Bing Crosby
174,2024,1,Rocket Man,Q56070897,5937.0,popular music,Elton John
175,2024,1,Desperado,Q4037259,5910.0,soft rock,Eagles
176,2024,1,Oops!... I Did It Again,Q733931,5907.0,teen pop,Britney Spears
177,2024,1,My Girl,Q1541182,5890.0,soul,The Temptations
178,2024,1,Venus,Q749752,5883.0,popular music,Shocking Blue
179,2024,1,The Prayer,Q1450954,5872.0,crossover,Céline Dion
180,2024,1,Diamonds,Q74038,5838.0,pop music,Rihanna
181,2024,1,Five Nights at Freddy's,Q123479284,5830.0,electronic music,The Living Tombstone
182,2024,1,Smooth,Q1036227,5828.0,rock music,Santana
183,2024,1,Wake Me Up,Q13557314,5814.0,pop music,Avicii
184,2024,1,3,Q229553,5809.0,synth-pop,Britney Spears
185,2024,1,Mia Khalifa,Q74208810,5809.0,trap music,iLoveFriday
186,2024,1,Basket Case,Q1750952,5792.0,punk rock,Green Day
187,2024,1,Once in a Lifetime,Q661493,5727.0,new wave,Talking Heads
188,2024,1,The Gambler,Q5559091,5724.0,country music,Bobby Bare
189,2024,1,A Thousand Years,Q82123,5715.0,pop music,Christina Perri
190,2024,1,Bad,Q275422,5705.0,pop music,Michael Jackson
191,2024,1,Simple Man,Q1772880,5624.0,Southern rock,Lynyrd Skynyrd
192,2024,1,Save Me,Q120024185,5621.0,,Jelly Roll
193,2024,1,One Last Time,Q18786661,5606.0,dance-pop,Ariana Grande
194,2024,1,Bad Day,Q2081392,5593.0,pop music,Daniel Powter
195,2024,1,Chandelier,Q16028874,5585.0,electropop,Sia
196,2024,1,Dance with the Devil,Q5215345,5557.0,hip-hop,Immortal Technique
197,2024,1,Ben,Q49522,5557.0,pop music,Michael Jackson
198,2024,1,Peaches,Q117480544,5552.0,stage and screen,Jack Black
199,2024,1,Dancing in the Dark,Q1159364,5548.0,electronic rock,Bruce Springsteen
200,2024,1,Good Times,Q1011938,5519.0,disco,Chic
201,2024,1,Perfect,Q29051557,5518.0,ballade,Ed Sheeran
202,2024,1,Whistle,Q1781150,5517.0,electropop,Flo Rida
203,2024,1,Those Were the Days,Q88222469,5510.0,folk music,The Limeliters
204,2024,1,7,Q4643816,5502.0,pop music,Prince
205,2024,1,Stay,Q107439752,5470.0,pop rap,The Kid Laroi
206,2024,1,Yellow Submarine,Q832799,5445.0,folk rock,The Beatles
207,2024,1,Take Me Home Tonight,Q1324983,5440.0,pop rock,Eddie Money
208,2024,1,Idol,Q117462019,5433.0,J-pop,Yoasobi
209,2024,1,Rosanna,Q525539,5431.0,rock music,Toto
210,2024,1,Shout,Q3959743,5415.0,rock and roll,The Isley Brothers
211,2024,1,Crazy,Q2083222,5394.0,neo soul,Gnarls Barkley
212,2024,1,What's Love Got to Do with It,Q2300404,5385.0,,Tina Turner
213,2024,1,Wrecking Ball,Q14661781,5381.0,synth-pop,Miley Cyrus
214,2024,1,Never Forget You,Q261315,5324.0,popular music,Mariah Carey
215,2024,1,"""Heroes""",Q701655,5311.0,rock music,David Bowie
216,2024,1,What's Going On,Q2517476,5311.0,soul,Marvin Gaye
217,2024,1,Your Love,Q5853236,5292.0,,The Outfield
218,2024,1,How Deep Is Your Love,Q1573223,5292.0,pop music,Bee Gees
219,2024,1,Umbrella,Q155447,5291.0,pop music,Rihanna
220,2024,1,Misty,Q1939352,5289.0,,Erroll Garner
221,2024,1,Forever Young,Q1437264,5288.0,ballad,Alphaville
222,2024,1,Lean on Me,Q1423445,5275.0,soul,Bill Withers
223,2024,1,Thunderstruck,Q2430003,5271.0,hard rock,AC/DC
224,2024,1,Highwayman,Q16843253,5266.0,country music,The Highwaymen
225,2024,1,Valerie,Q2634654,5258.0,indie rock,The Zutons
226,2024,1,Fantasy,Q996033,5252.0,contemporary R&B,Mariah Carey
227,2024,1,Walk on the Wild Side,Q2454080,5228.0,rock music,Lou Reed
228,2024,1,Wild Thing,Q225027,5215.0,garage rock,The Troggs
229,2024,1,Take the Long Way Home,Q7677934,5215.0,rock music,Supertramp
230,2024,1,Joy to the World,Q6297345,5210.0,soft rock,Three Dog Night
231,2024,1,Earth,Q63245158,5207.0,pop music,Lil Dicky
232,2024,1,Relax,Q104175596,5171.0,Hi-NRG,Frankie Goes to Hollywood
233,2024,1,Feather,Q123312089,5166.0,dance-pop,Sabrina Carpenter
234,2024,1,The Wayfaring Stranger,Q3989961,5159.0,American folk music,
235,2024,1,Cobra,Q123412052,5153.0,rap rock,Megan Thee Stallion
236,2024,1,Rhiannon,Q959036,5137.0,rock music,Fleetwood Mac
237,2024,1,Wiseman,Q123162867,5135.0,,
238,2024,1,Fireflies,Q1165917,5131.0,pop music,Owl City
239,2024,1,Unholy,Q113876065,5131.0,electropop,Sam Smith
240,2024,1,My House,Q123614606,5105.0,house music,Beyoncé
241,2024,1,Torn,Q1193181,5069.0,alternative rock,Ednaswap
242,2024,1,Hold On,Q2069502,5059.0,pop rock,Wilson Phillips
243,2024,1,You Get What You Give,Q1408207,5058.0,,New Radicals
244,2024,1,Hurricane,Q1419882,5058.0,protest song,Bob Dylan
245,2024,1,Gold Digger,Q2628090,5039.0,pop rap,Kanye West
246,2024,1,Live and Let Die,Q568484,5010.0,popular music,Wings
247,2024,1,The U.S. Air Force,Q7771013,4995.0,military song,
248,2024,1,Nonsense,Q116453699,4985.0,rhythm and blues,Sabrina Carpenter
249,2024,1,Waterloo,Q32503,4955.0,pop music,ABBA
250,2024,1,Eastside,Q57897076,4954.0,pop music,Benny Blanco
251,2024,1,Linger,Q2734705,4946.0,alternative rock,The Cranberries
252,2024,1,Maneater,Q1143166,4936.0,soft rock,Hall & Oates
253,2024,1,Southern Cross,Q7569812,4929.0,folk rock,"Crosby, Stills & Nash"
254,2024,1,Without Me,Q1479183,4925.0,comedy hip-hop,Eminem
255,2024,1,Poison,Q7208434,4917.0,new jack swing,Bell Biv DeVoe
256,2024,1,Father and Son,Q1398035,4916.0,folk rock,Cat Stevens
257,2024,1,Wildest Dreams,Q20882673,4879.0,dream pop,Taylor Swift
258,2024,1,Skyfall,Q326790,4876.0,popular music,Adele
259,2024,1,Milkshake,Q1761593,4872.0,dance music,Kelis
260,2024,1,Take Me Out,Q941387,4848.0,rock music,Franz Ferdinand
261,2024,1,Cupid,Q117305738,4842.0,,Fifty Fifty
262,2024,1,The Power of Love,Q1852653,4834.0,pop music,Jennifer Rush
263,2024,1,Iron Man,Q910905,4822.0,rock music,Black Sabbath
264,2024,1,Yesterday,Q202698,4820.0,popular music,The Beatles
265,2024,1,When a Man Loves a Woman,Q2456757,4818.0,,Percy Sledge
266,2024,1,Call Me,Q857507,4810.0,popular music,Blondie
267,2024,1,Godzilla,Q83050393,4809.0,hip-hop,Eminem
268,2024,1,Everytime We Touch,Q993833,4809.0,Eurodance,Cascada
269,2024,1,Sundown,Q7639816,4750.0,folk rock,Gordon Lightfoot
270,2024,1,Sunflower,Q57939337,4747.0,pop music,Post Malone
271,2024,1,Loser,Q2363966,4738.0,alternative rock,Beck
272,2024,1,Cult of Personality,Q2756130,4737.0,alternative metal,Living Colour
273,2024,1,2024,Q124040144,4732.0,,
274,2024,1,Michelle,Q1353749,4731.0,pop music,The Beatles
275,2024,1,Wild Horses,Q240211,4727.0,popular music,The Rolling Stones
276,2024,1,Take It to the Limit,Q3980281,4722.0,soft rock,Eagles
277,2024,1,We Didn't Start the Fire,Q120441376,4700.0,rock music,
278,2024,1,Bad Guy,Q62618893,4698.0,pop music,Billie Eilish
279,2024,1,Daylight,Q118316199,4694.0,gothic rock,David Kushner
280,2024,1,Human Nature,Q732826,4663.0,pop music,Michael Jackson
281,2024,1,Heart of Glass,Q635756,4661.0,rock and roll,Blondie
282,2024,1,Revolution,Q2619535,4655.0,hard rock,The Beatles
283,2024,1,Style,Q18786715,4652.0,synth-pop,Taylor Swift
284,2024,1,Cry Me a River,Q572144,4643.0,pop music,Justin Timberlake
285,2024,1,Jailhouse Rock,Q1353423,4613.0,rock and roll,Q303
286,2024,1,Closing Time,Q5135443,4613.0,,Semisonic
287,2024,1,Die for You,Q30597941,4606.0,contemporary R&B,The Weeknd
288,2024,1,My Own Worst Enemy,Q6946243,4602.0,,Lit
289,2024,1,Eternal Flame,Q1371048,4599.0,popular music,The Bangles
290,2024,1,Eyes Without a Face,Q1126532,4591.0,,Billy Idol
291,2024,1,Ocean Eyes,Q30603613,4580.0,pop music,Billie Eilish
292,2024,1,Fire and Rain,Q5451533,4559.0,soft rock,James Taylor
293,2024,1,Good Vibrations,Q11101138,4553.0,,Marky Mark and the Funky Bunch
294,2024,1,Changes,Q2086380,4544.0,hip-hop,Tupac Shakur
295,2024,1,Ironic,Q2287863,4536.0,pop rock,Alanis Morissette
296,2024,1,I Miss You,Q2739062,4524.0,alternative rock,Blink-182
297,2024,1,Man on the Moon,Q1888554,4517.0,country rock,R.E.M.
298,2024,1,Radioactive,Q7281218,4514.0,alternative rock,Imagine Dragons
299,2024,1,Rapture,Q1714785,4476.0,disco,Blondie
300,2024,1,Say Something,Q15144830,4466.0,popular music,Ian Axel
301,2024,1,Come as You Are,Q910487,4461.0,grunge,Nirvana
302,2024,1,Kashmir,Q978391,4457.0,hard rock,Led Zeppelin
303,2024,1,Just Dance,Q189007,4430.0,electropop,Lady Gaga
304,2024,1,Forever,Q2553206,4398.0,hip-hop,Drake
305,2024,1,Happy Birthday,Q2342851,4395.0,rhythm and blues,Stevie Wonder
306,2024,1,Night Moves,Q7033371,4393.0,heartland rock,Bob Seger
307,2024,1,Redbone,Q28452669,4392.0,psychedelic soul,Donald Glover
308,2024,1,The Reason,Q1025631,4389.0,alternative rock,Hoobastank
309,2024,1,Blue Moon,Q804574,4371.0,popular music,Glen Gray
310,2024,1,S&M,Q830734,4335.0,dance-pop,Rihanna
311,2024,1,The Message,Q1814594,4333.0,hip-hop,Grandmaster Flash and the Furious Five
312,2024,1,Royals,Q14370331,4321.0,indie pop,Lorde
313,2024,1,Summer Breeze,Q7637277,4321.0,soft rock,Seals and Crofts
314,2024,1,Girlfriend,Q738474,4314.0,pop-punk,Avril Lavigne
315,2024,1,1979,Q2733678,4312.0,alternative rock,The Smashing Pumpkins
316,2024,1,Solsbury Hill,Q1808658,4310.0,art rock,Peter Gabriel
317,2024,1,Brutal,Q107123213,4310.0,pop-punk,Olivia Rodrigo
318,2024,1,Get Low,Q2282976,4307.0,Southern hip-hop,Lil Jon & the East Side Boyz
319,2024,1,Complicated,Q543362,4304.0,pop rock,Avril Lavigne
320,2024,1,Dragula,Q734624,4302.0,industrial metal,Rob Zombie
321,2024,1,Believer,Q28737603,4289.0,pop rock,Imagine Dragons
322,2024,1,9 to 5,Q4646459,4281.0,country music,Dolly Parton
323,2024,1,Turn the Page,Q2717247,4277.0,rock music,Bob Seger
324,2024,1,Mean,Q2303661,4269.0,country music,Taylor Swift
325,2024,1,City of New Orleans,Q21643112,4260.0,folk music,Steve Goodman
326,2024,1,Exile,Q97664817,4257.0,indie folk,Taylor Swift
327,2024,1,Dirty Laundry,Q1228231,4243.0,rock music,Don Henley
328,2024,1,Cups,Q14915219,4240.0,folk music,Anna Kendrick
329,2024,1,Rooster,Q2554050,4224.0,grunge,Alice in Chains
330,2024,1,Born in the U.S.A.,Q522215,4213.0,rock music,Bruce Springsteen
331,2024,1,Addicted to Love,Q352920,4206.0,power pop,Robert Palmer
332,2024,1,Danger Zone,Q5216027,4197.0,hard rock,Kenny Loggins
333,2024,1,Traitor,Q107525406,4196.0,indie pop,Olivia Rodrigo
334,2024,1,Wish You Were Here,Q1130223,4189.0,popular music,Pink Floyd
335,2024,1,Cherry Bomb,Q5092300,4189.0,popular music,The Runaways
336,2024,1,Atlantic City,Q3445324,4187.0,folk rock,Bruce Springsteen
337,2024,1,Do It Again,Q5286056,4155.0,rock music,Steely Dan
338,2024,1,The End of the World,Q3366912,4152.0,blues,Skeeter Davis
339,2024,1,Drive,Q169987,4144.0,rock music,The Cars
340,2024,1,Marjorie,Q104184919,4143.0,alternative rock,Taylor Swift
341,2024,1,Closer,Q239076,4142.0,industrial rock,Nine Inch Nails
342,2024,1,True Colors,Q964588,4140.0,pop music,Cyndi Lauper
343,2024,1,Surround Sound,Q110732545,4138.0,,JID
344,2024,1,Fame,Q288281,4138.0,funk,David Bowie
345,2024,1,Convoy,Q3689909,4131.0,country music,C. W. McCall
346,2024,1,The Lady in Red,Q2191286,4125.0,popular music,Chris de Burgh
347,2024,1,Seven,Q120682483,4113.0,pop music,Jungkook
348,2024,1,Makeba,Q22056760,4108.0,pop music,Jain
349,2024,1,The Man,Q66314458,4097.0,synth-pop,Taylor Swift
350,2024,1,Don't Give Up,Q2629301,4093.0,art rock,Peter Gabriel
351,2024,1,Sorry,Q21198638,4089.0,dancehall pop,Justin Bieber
352,2024,1,Fuck You,Q57898891,4071.0,,CeeLo Green
353,2024,1,Brown Sugar,Q991121,4061.0,rock and roll,The Rolling Stones
354,2024,1,The Promise,Q7758542,4048.0,,When in Rome
355,2024,1,Everywhere,Q5418171,4031.0,pop music,Fleetwood Mac
356,2024,1,Wuthering Heights,Q55777670,4023.0,art rock,Kate Bush
357,2024,1,Whip It,Q7993694,4016.0,new wave,Devo
358,2024,1,Shout,Q950244,4011.0,synth-pop,Tears for Fears
359,2024,1,21 Guns,Q1648703,3995.0,alternative rock,Green Day
360,2024,1,Ronan,Q2758707,3971.0,soft rock,Taylor Swift
361,2024,1,Exes,Q123472066,3968.0,pop music,Tate McRae
362,2024,1,Teardrop,Q1027829,3968.0,trip hop,Massive Attack
363,2024,1,Midnight Special,Q4044259,3943.0,country blues,Creedence Clearwater Revival
364,2024,1,Mr. Jones,Q1995488,3941.0,alternative rock,Counting Crows
365,2024,1,Cruel Summer,Q1141939,3929.0,popular music,Bananarama
366,2024,1,Mockingbird,Q2164631,3928.0,hip-hop,Eminem
367,2024,1,Hypnotize,Q1629508,3927.0,East Coast hip-hop,The Notorious B.I.G.
368,2024,1,Fernando,Q27623,3927.0,,ABBA
369,2024,1,Firework,Q163412,3899.0,synth-pop,Katy Perry
370,2024,1,Ohio,Q2137506,3890.0,protest song,"Crosby, Stills & Nash"
371,2024,1,Don't Let Me Down,Q2078599,3877.0,popular music,The Beatles
372,2024,1,Like a Virgin,Q542497,3866.0,popular music,Madonna
373,2024,1,The Boy Is Mine,Q1088774,3808.0,popular music,Brandy Norwood
374,2024,1,Flashing Lights,Q2915228,3803.0,hip-hop,Kanye West
375,2024,1,Kyrie,Q1748161,3802.0,pop rock,Mr. Mister
376,2024,1,El Paso,Q5351760,3755.0,country music,Marty Robbins
377,2024,1,Roundabout,Q1078140,3755.0,progressive rock,Yes
378,2024,1,Dilemma,Q2015357,3745.0,hip-hop,Nelly
379,2024,1,Promiscuous,Q943285,3744.0,pop music,Nelly Furtado
380,2024,1,Good Good,Q122723339,3736.0,,
381,2024,1,Killshot,Q56635098,3733.0,hip-hop,Eminem
382,2024,1,Bad Boys,Q2629093,3709.0,reggae,Inner Circle
383,2024,1,Fever,Q919452,3708.0,rhythm and blues,Little Willie John
384,2024,1,Dilemma,Q123944694,3706.0,,
385,2024,1,Kids,Q2327088,3705.0,,MGMT
386,2024,1,Ella Baila Sola,Q117706785,3705.0,regional Mexican,Eslabón Armado
387,2024,1,Ghostbusters,Q1392942,3692.0,popular music,Ray Parker Jr.
